month,total_quantity,total_value
2020-07-01,66347.0,4409424.2999999942
2020-08-01,25106.0,541256.56999999925
2020-09-01,105658.0,1601226.9400000062
2020-10-01,44041.0,969803.509999999
2020-11-01,16044.0,842756.31000000029
2020-12-01,7056.0,-107575.39999999802
2021-01-01,204415.0,476046.23999999365
2021-02-01,55070.0,926667.78000000212
2021-03-01,87201.5,1998051.4750000031
2021-04-01,84677.5,-212853.23500000197
2021-05-01,72550.0,1804269.930000003
2021-06-01,-264642.00000005,-4546624.1999999909
2021-07-01,-1192.99999995,-486270.45999999659
2021-08-01,69181.324000000008,103514.39415999904
2021-09-01,42879.0,1143957.81
2021-10-01,13068.0,1143772.0099999993
2021-11-01,51894.676,398077.07583999855
2021-12-01,6740.0,-1010005.2600000062
2022-01-01,89909.0,-302081.88000000094
2022-02-01,44108.0,-496099.22000000149
2022-03-01,25270.0,-424353.81000000081
2022-04-01,26237.0,1229341.5600000003
2022-05-01,10324.0,1215765.2100000062
2022-06-01,29660.0,-654735.990000003
2022-07-01,8247.0,2002378.4600000007
2022-08-01,21409.0,1480937.959999993
2022-09-01,108396.79999999999,1117625.9040000022
2022-10-01,34908.010000000031,1184751.2422999903
2022-11-01,39362.99,-677341.18230000278
2022-12-01,-2487.3997840000011,927251.22000215843
2023-01-01,40584.0,-1575770.0100000047